PreguntaOff,PreguntaOn,Colors,Conteo,conteoRegresivo.thisRepN,conteoRegresivo.thisTrialN,conteoRegresivo.thisN,conteoRegresivo.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,comienzo.started,InicioConteo.started,comienzo.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.024820800000270538,0.03959560000021156,0.024459500000375556,0.9611517000003005,[-0.14322916666666666],[0.17057291666666666],[1],[0],[0],[0.9355336999997235],,,,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,Comenzamos en : 1,0,0,0,0,1.0022932000001674,,,,,,,,,,,,0.9726517999997668,1.0022932000001674,1.9753012000001036,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,Comenzamos en : 2,0,1,1,1,2.0015222000001813,,,,,,,,,,,,1.9755961999999272,2.0015222000001813,2.9744328000006135,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,Comenzamos en : 3,0,2,2,2,3.0006647999998677,,,,,,,,,,,,2.974727300000268,3.0006647999998677,3.973470800000541,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,None,0,3,3,3,3.9864325999997163,,,,,,,,,,,,3.9737372999998115,3.9864325999997163,4.972248500000205,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,None,0,4,4,4,4.985775099999955,,,,,,,,,,,,4.972577999999885,4.985775099999955,5.971996799999943,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,None,0,5,5,5,5.999652700000297,,,,,,,,,,,,5.972287100000358,5.999652700000297,7.0191782000001695,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,None,0,6,6,6,7.0350939999998445,,,,,,,,,,,,7.019470600000204,7.0350939999998445,7.972384300000158,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,None,0,7,7,7,7.997708400000192,,,,,,,,,,,,7.97278869999991,7.997708400000192,8.969185900000411,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,None,0,8,8,8,8.98199300000033,,,,,,,,,,,,8.969474500000615,8.98199300000033,9.969809400000486,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,None,0,9,9,9,9.99643879999985,,,,,,,,,,,,9.970103000000563,9.99643879999985,10.967485600000145,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
None,21,white,None,0,10,10,10,10.995354499999848,,,,,,,,,,,,10.967787700000372,10.995354499999848,11.966057399999954,060134,001,2024-04-28_11h23.06.703,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.14.799965 -0500,
,,,,,,,,11.979811500000324,,,,,,,,,,,,11.966350499999862,11.979811500000324,,,,,,,,,
