PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.02295189999995273,0.04133880000017598,0.02258910000000469,1.65816360000008,[-0.05859375],[0.018229166666666668],[1],[0],[0],[1.6343018000002303],,,,,,,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,0,0,0,0,21.700370399999883,,,,,,,,,,,,1.669821100000263,1.7163562999999158,21.672743699999955,21.680421699999897,21.700370399999883,22.671530800000255,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,0,1,1,1,22.69780630000014,,,,,,,,,,,,,,,22.671871399999873,22.69780630000014,23.67096500000025,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,0,0,0,0,0,2,2,2,23.69682909999983,,,,,,,,,,,,,,,23.67135670000016,23.69682909999983,24.67033870000023,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,0,0,0,0,0,3,3,3,24.695964600000025,,,,,,,,,,,,,,,24.670706299999893,24.695964600000025,25.669051800000034,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,0,0,0,0,0,4,4,4,25.695057700000234,,,,,,,,,,,,,,,25.669460999999956,25.695057700000234,26.668337200000224,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,0,0,0,0,0,5,5,5,26.694206799999847,,,,,,,,,,,,,,,26.66869910000014,26.694206799999847,27.66739469999993,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,0,0,0,0,0,6,6,6,27.693302799999856,,,,,,,,,,,,,,,27.667817099999866,27.693302799999856,28.66654430000017,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,0,0,0,0,0,7,7,7,28.692580400000224,,,,,,,,,,,,,,,28.66694030000008,28.692580400000224,29.665592599999854,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,0,0,0,0,0,8,8,8,29.6919683000001,,,,,,,,,,,,,,,29.665956499999993,29.6919683000001,30.66476139999986,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,0,0,0,0,0,9,9,9,30.690887100000054,,,,,,,,,,,,,,,30.66509780000024,30.690887100000054,31.663979200000085,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,1,0,10,0,31.67702589999999,,,,,,,,,,,,,,,31.66434040000013,31.67702589999999,32.662964999999986,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,1,1,11,1,32.676170900000216,,,,,,,,,,,,,,,32.663307599999825,32.676170900000216,33.66000200000008,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,0,0,0,0,1,2,12,2,33.6756605999999,,,,,,,,,,,,,,,33.66037240000014,33.6756605999999,34.661563300000125,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,0,0,0,0,1,3,13,3,34.674337899999955,,,,,,,,,,,,,,,34.66205900000023,34.674337899999955,35.660607000000255,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,0,0,0,0,1,4,14,4,35.67400099999986,,,,,,,,,,,,,,,35.6610211000002,35.67400099999986,36.659911700000066,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,0,0,0,0,1,5,15,5,36.67302040000004,,,,,,,,,,,,,,,36.6604112,36.67302040000004,37.65858830000025,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,0,0,0,0,1,6,16,6,37.67157810000026,,,,,,,,,,,,,,,37.65894909999997,37.67157810000026,38.66030379999984,38.68563089999998,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,0,0,0,0,1,7,17,7,38.68563089999998,,,,,,,,,,,,,,,38.66071820000025,38.68563089999998,39.673475900000085,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,0,0,0,0,1,8,18,8,39.68679169999996,,,,,,,,,,,,,,,39.67387599999984,39.68679169999996,40.673369900000125,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,0,0,0,0,1,9,19,9,40.70012580000002,,,,,,,,,,,,,,,40.674039600000015,40.70012580000002,41.67238520000001,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,2,0,20,0,41.68470130000014,,,,,,,,,,,,,,,41.672723900000165,41.68470130000014,42.6709151,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,2,1,21,1,42.68406360000017,,,,,,,,,,,,,,,42.671300299999984,42.68406360000017,43.66876469999988,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,0,0,0,0,2,2,22,2,43.68347470000026,,,,,,,,,,,,,,,43.669190399999934,43.68347470000026,44.66901970000026,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,0,0,0,0,2,3,23,3,44.682277800000065,,,,,,,,,,,,,,,44.6693822000002,44.682277800000065,45.665531499999815,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,0,0,0,0,2,4,24,4,45.67771630000016,,,,,,,,,,,,,,,45.66590309999992,45.67771630000016,46.66427220000014,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,0,0,0,0,2,5,25,5,46.677322600000025,,,,,,,,,,,,,,,46.664629400000194,46.677322600000025,47.66322040000023,,026880,001,2024-04-28_10h17.02.797,ArchivoPrueba,2024.1.1,None,2024-04-28 10h17.11.920327 -0500,
