PreguntaOff,PreguntaOn,Colors,Conteo,conteoRegresivo.thisRepN,conteoRegresivo.thisTrialN,conteoRegresivo.thisN,conteoRegresivo.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,comienzo.started,InicioConteo.started,comienzo.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.021995899999637913,0.03658199999972567,0.021613900000374997,0.8072842999999921,[-0.028645833333333332],[0.14713541666666666],[1],[0],[0],[0.7844900000000052],,,,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,Comenzamos en : 1,0,0,0,0,0.8492710999998963,,,,,,,,,,,,0.8189417000003232,0.8492710999998963,1.8219919000002847,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,Comenzamos en : 2,0,1,1,1,1.8483839999998963,,,,,,,,,,,,1.8222623000001477,1.8483839999998963,2.821134300000267,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,Comenzamos en : 3,0,2,2,2,2.8474147999995694,,,,,,,,,,,,2.8214540999997553,2.8474147999995694,3.8204359999999724,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,None,0,3,3,3,3.833306399999856,,,,,,,,,,,,3.820724600000176,3.833306399999856,4.81941469999947,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,None,0,4,4,4,4.832724699999744,,,,,,,,,,,,4.819715200000246,4.832724699999744,5.81854790000034,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,None,0,5,5,5,5.831455700000333,,,,,,,,,,,,5.818846299999677,5.831455700000333,6.8180130000000645,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,None,0,6,6,6,6.845706799999789,,,,,,,,,,,,6.818292699999802,6.845706799999789,7.817209599999842,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,None,0,7,7,7,7.8451257999995505,,,,,,,,,,,,7.8175781999998435,7.8451257999995505,8.897760400000152,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
 ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,None,0,8,8,8,8.913784600000326,,,,,,,,,,,,8.898036499999762,8.913784600000326,9.815887699999621,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,19,red,None,0,9,9,9,9.843285199999627,,,,,,,,,,,,9.816157000000203,9.843285199999627,10.815357800000129,645008,001,2024-04-28_11h23.47.709,ArchivoPrueba,2024.1.1,None,2024-04-28 11h23.55.664147 -0500,
,,,,,,,,10.842363599999771,,,,,,,,,,,,10.815731099999539,10.842363599999771,,,,,,,,,
