PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.022590800000216404,0.03689220000023852,0.022192200000063167,1.540077999999994,[-0.14453125],[0.1640625],[1],[0],[0],[1.5165729000000283],,,,,,,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,0,0,0,0,4.5804369000002225,,,,,,,,,,,,1.5522460000001956,1.5979572999999618,4.552566500000012,4.561544500000309,4.5804369000002225,5.552235200000268,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,0,1,1,1,5.577635900000132,,,,,,,,,,,,,,,5.552689999999984,5.577635900000132,6.55072569999993,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,0,0,0,0,0,2,2,2,6.5768849999999475,,,,,,,,,,,,,,,6.551095799999985,6.5768849999999475,7.5498357999999826,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,0,0,0,0,0,3,3,3,7.575917500000287,,,,,,,,,,,,,,,7.550232099999903,7.575917500000287,8.563525400000344,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,0,0,0,0,0,4,4,4,8.57696470000019,,,,,,,,,,,,,,,8.563863300000321,8.57696470000019,9.547819000000345,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,0,0,0,0,0,5,5,5,9.574360500000239,,,,,,,,,,,,,,,9.548238400000173,9.574360500000239,10.549511600000187,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,0,0,0,0,0,6,6,6,10.573381000000154,,,,,,,,,,,,,,,10.549906499999906,10.573381000000154,11.548370599999998,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,0,0,0,0,0,7,7,7,11.572361600000022,,,,,,,,,,,,,,,11.548783100000037,11.572361600000022,12.547168600000077,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,0,0,0,0,0,8,8,8,12.5729824,,,,,,,,,,,,,,,12.547545700000228,12.5729824,13.544593800000257,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
