PreguntaOn,PreguntaOff,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,introducción_3.started,introducción.started,mouse.started,introducción_3.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,On.started,CondicionOn.started,On.stopped,Off.started,CondicionOff.started,Off.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.06966929999907734,0.0992675000015879,0.06931020000047283,2.0376809000008507,[-0.13194444444444445],[0.14699074074074073],[1],[0],[0],[1.9658627999961027],,,,,,,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
¿Recuerda el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,0,0,0,0,0,0,0,22.14485810000042,,,,,,,,,,,,2.0770888999977615,2.1468519999980344,22.041719699998794,22.068558599996322,22.14485810000042,23.055640599995968,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,0,0,0,0,1,1,1,23.077339999996184,,,,,,,,,,,,,,,23.056296399998246,23.077339999996184,24.041778899998462,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
¿Recuerda  algún inconveniente que ha  experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,0,0,0,0,2,2,2,24.07741520000127,,,,,,,,,,,,,,,24.04271709999739,24.07741520000127,25.05809130000125,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
¿Recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,0,0,0,0,3,3,3,25.09376009999687,,,,,,,,,,,,,,,25.059404300001916,25.09376009999687,26.059850699995877,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
" ¿Recuerda el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,0,0,0,0,4,4,4,26.09250919999613,,,,,,,,,,,,,,,26.060970599995926,26.09250919999613,27.04702659999748,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,0,0,0,0,5,5,5,27.078274200001033,,,,,,,,,,,,,,,27.048435299999255,27.078274200001033,28.065974500001175,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,0,0,0,0,6,6,6,28.110757399997965,,,,,,,,,,,,,,,28.067419300001347,28.110757399997965,29.03919229999883,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,15,purple,0,0,0,0,0,7,7,7,29.076402799997595,,,,,,,,,,,,,,,29.040406499996607,29.076402799997595,30.043977299996186,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
 ¿Recuerda qué es lo primero que ve al llegar al lugar donde realiza sus compras?,17,green,0,0,0,0,0,8,8,8,30.075477799997316,,,,,,,,,,,,,,,30.04514840000047,30.075477799997316,31.063506799997413,855576,001,2024-04-28_19h03.44.809,ArchivoPrueba,2024.1.1,None,2024-04-28 19h04.00.291033 -0500,
